"file","title","doc_type","bucket","final_disposition","best_manual_section","best_manual_similarity","best_canon_title","best_canon_similarity","justification"
"ninja-as-world-generator.md","NINJA as WORLD GENERATOR","SET_TOPIC","PARTIAL","active","6.3 Extending The Sim Area","0.801820","NinjaLive v2 Content Descriptor","0.811172","While the canon discusses extending the sim area and using external renderers for large areas, the candidate adds specific guidance on using Ninja 'on top of' native UE waves and introduces the concept of using tiled patterns for infinite cloud fields."
"ninja-vs-network.md","NINJA vs NETWORK","SET_TOPIC","NOVEL","active","2.13 Ninja Spawner","0.721278","NinjaLive v2 Params Descriptor","0.728679","The canon excerpts provide no information regarding network replication, dedicated servers, or client-side execution logic for Fluid Ninja LIVE 2."
"ninja-vs-ue57.md","NINJA vs UE.5.7","SET_TOPIC","NOVEL","active","15.1 Comparison","0.780829","NinjaLive v2 Limitations Descriptor","0.786439","The candidate provides specific compatibility fixes and parameter adjustments for UE 5.7 Preview that are not mentioned in the provided canon excerpts."
"ninjalive-actor.md","NINJALIVE ACTOR","SET_TOPIC","PARTIAL","active","2.1 Typical Setups","0.829001","NinjaLive v2 Limitations Descriptor","0.830710","The candidate adds a specific architectural recommendation for 'Large-Water-Surfaces' (combining a tile-generator and local interaction handler) and external tutorial links not present in the canon."
"ninjalive-component-vs-ninjalive-actor.md","NinjaLive COMPONENT vs NinjaLive ACTOR","SET_TOPIC","REDUNDANT","proposed-discard","14.5 Interaction Volume","0.815399","NinjaLive v2 Limitations Descriptor","0.831802","The candidate's technical claims regarding the difference between NinjaLive Actor (global interaction) and NinjaLive Component (owner-only interaction) are fully entailed by Canon 5 and Canon 7."
"ninjalivecomponent-not-recognized.md","NINJALIVECOMPONENT NOT RECOGNIZED","SET_TOPIC","NOVEL","proposed-scope-reject","7.1  Presets","0.731369","NinjaLive v2 Params Descriptor","0.743498","The canon excerpts describe parameters, presets, and data interface bugs, but contain no mention of a 'NinjaLive INTERFACE' or the requirement to add it to an Actor blueprint to resolve Preset Manager recognition issues."
"no-interaction-in-movie-render-queue.md","NO INTERACTION IN MOVIE RENDER QUEUE","SET_TOPIC","NOVEL","active","Warnings","0.690933","FluidNinja LIVE-2 Manual","0.690933","The candidate consists entirely of external Discord links and provides no technical content, whereas the canon contains detailed instructions for MRQ rendering."
"noise.md","NOISE","SET_TOPIC","PARTIAL","proposed-scope-reject","Brush position random","0.734946","NinjaLive v2 Content Descriptor","0.767318","While canon confirms noise for sim velocity and brush position/velocity, it does not explicitly list 'sim density' and 'brush density' as noise targets, nor does it explicitly mention the 'Preset Manager' as a control location."
"non-interactive-pattern-generators.md","NON-INTERACTIVE PATTERN GENERATORS","SET_TOPIC","PARTIAL","active","Passive Waves","0.798692","FluidNinja LIVE-2 Manual","0.798692","The candidate adds a specific technical instruction regarding the ability to use the basematerial independently of the simulation/ninja actor, which is not explicitly detailed in the canon."
"on-the-recent-ninja-update.md","ON THE RECENT NINJA UPDATE","SET_TOPIC","NOVEL","active","11. Volumetrics","0.782907","NinjaLive v2 Content Descriptor","0.785995","The candidate provides specific update dates, Discord links, external documentation links, and image assets not present in the canon excerpts."
"overlapping.md","OVERLAPPING","SET_TOPIC","PARTIAL","proposed-scope-reject","14.5 Interaction Volume","0.793137","NinjaLive v2 Content Descriptor","0.798318","The candidate introduces several technical details not found in the canon, specifically the use of a 'tracemesh' for display, the ability to define a custom tracemesh or custom LineTrace startpoint, and the option to use the TraceMesh for precise surface hit detection."
"packaging.md","PACKAGING","SET_TOPIC","NOVEL","active","3.3 Copying Setups","0.760542","FluidNinja LIVE-2 Manual","0.760542","The canon excerpts provide no information regarding packaging errors, trace channel autofind limitations, or the specific manual configuration of TraceChannel/CollisionChannel enums in the NinjaLiveComponent blueprint."
"particle-capturing.md","PARTICLE CAPTURING","SET_TOPIC","PARTIAL","active","5.6 Particles","0.717124","NinjaLive v2 Content Descriptor","0.723806","The candidate describes a specific 'particle capturing' workflow using 'Set2DVelocityColor', 'AttributeReader', and 'WriteGridToRenderTarget' modules, which are not mentioned in the canon excerpts."
"particle-color.md","PARTICLE COLOR","SET_TOPIC","NOVEL","active","5.6 Particles","0.772236","FluidNinja LIVE-2 Manual","0.772236","The canon excerpts focus on particles as simulation inputs and material reference bugs, but contain no information regarding atmospheric lighting nodes, specific material instance parameters, or the M_SpriteMaterial_Heavy_AfterDOF base-material."
"particles-vertical-displacement.md","PARTICLES, VERTICAL DISPLACEMENT","SET_TOPIC","PARTIAL","active","2.10 Surface Aligned Particles","0.800489","NinjaLive v2 Content Descriptor","0.808776","While canon mentions using pressure for Z-axis/height displacement (Canon 1, 2), the candidate adds specific implementation details including a dedicated Niagara module path and external video examples."
"particles.md","PARTICLES","SET_TOPIC","PARTIAL","active","5.6 Particles","0.821857","NinjaLive v2 Content Descriptor","0.830445","The candidate provides specific external learning resources (YouTube links, Discord posts) and references specific Usecase numbers (11, 14A) not present in the canon excerpts."
"pcg.md","PCG","SET_TOPIC","PARTIAL","active","15.1 Comparison","0.766963","FluidNinja LIVE-2 Manual","0.766963","The canon confirms the use of Niagara and Data Interfaces for Live Gen-2, but it contains no mention of PCG (Procedural Content Generation) or the specific architectural decision to exclude it as the core system."
"pie-vs-package.md","PIE vs PACKAGE","SET_TOPIC","NOVEL","active","3.3 Copying Setups","0.781458","FluidNinja LIVE-2 Manual","0.781458","The candidate provides specific troubleshooting for PIE vs Packaged build discrepancies, including the requirement to replace Soft References with Hard References in /LiveCompatibility, which is not mentioned in the provided canon."
"pipes.md","PIPES","SET_TOPIC","PARTIAL","proposed-scope-reject","6.1 Sparse vs Dense Setups","0.772026","NinjaLive v2 Limitations Descriptor","0.773893","The candidate provides a specific architectural workaround for 'pipes' using a Z-shaped mesh and specific parameter advice (FEEDBACK = 0.99) not found in the canon."
"pre-warm.md","PRE-WARM","SET_TOPIC","PARTIAL","active","12.4 Distance Based Modes","0.784988","FluidNinja LIVE-2 Manual","0.784988","While canon covers sim caching (pre-warming alternative) and proximity activation, the candidate adds a specific technical tip regarding the use of the 'speed' parameter to shorten initialization."
"preparing-ninjalive-for-a-new-feature.md","PREPARING NINJALIVE FOR A NEW FEATURE","SET_TOPIC","PARTIAL","proposed-scope-reject","12.4 Distance Based Modes","0.776760","NinjaLive v2 Content Descriptor","0.804280","While canon mentions the 'VeloFromSimAreaMotion' parameter and its use for moving containers, the candidate adds specific implementation details regarding the 'VeloHandlerForSimArea' node group, the use of 'GetPhisicsLinearVelocity', and the technical clarification that no real offset of sim buffers occurs."
"preset-manager-error-handling.md","PRESET MANAGER - ERROR HANDLING","SET_TOPIC","NOVEL","proposed-scope-reject","7.1  Presets","0.785599","FluidNinja LIVE-2 Manual","0.785599","The canon excerpts discuss general preset reading/writing and setup adjustments, but contain no mention of the 'Preset Manager' actor, its UI, client connection logic, the 'Live Interface' requirement, or the 'PresetSearchPath' variable."
"preset-manager-vs-inactive-ninja-actors.md","PRESET MANAGER vs INACTIVE NINJA ACTORS","SET_TOPIC","NOVEL","proposed-scope-reject","7.1  Presets","0.758639","NinjaLive v2 Params Descriptor","0.761935","The canon excerpts contain no mention of a 'Preset Manager' actor, its UI dropdowns, or the specific limitation that it cannot access 'sleeping' actors."
"preset-manager.md","PRESET MANAGER","SET_TOPIC","PARTIAL","proposed-scope-reject","7.1  Presets","0.809933","FluidNinja LIVE-2 Manual","0.809933","The candidate introduces a specific blueprint actor (/FluidNinjaLive /NinjaLive_PresetManager) and its detailed UI layout (rows, colors, icons) which are not mentioned in the canon excerpts."
"preset-name-filtering.md","PRESET NAME FILTERING","SET_TOPIC","NOVEL","proposed-scope-reject","7.1  Presets","0.778653","FluidNinja LIVE-2 Manual","0.778653","The canon excerpts contain no mention of a 'LiveGeneric' parameter group, 'Preset Name Filter Criteria', or the logic regarding string-based filtering of presets."
"presets.md","PRESETS","SET_TOPIC","PARTIAL","active","7.1  Presets","0.858956","FluidNinja LIVE-2 Manual","0.858956","The candidate provides a specific external Google Drive URL for detailed documentation and a specific folder path for the StartingGuide that are not present in the canon excerpts."
"projecting-3d-world-pos-to-sim-space.md","PROJECTING 3D WORLD POS TO SIM SPACE","SET_TOPIC","PARTIAL","proposed-scope-reject","14.5 Interaction Volume","0.753116","NinjaLive v2 Content Descriptor","0.774342","While canon mentions the general data pipeline (overlap detection and mapping to sim plane), the candidate adds specific technical implementation details regarding linetracing from the camera, the use of the 'SupportUVFromHitResult' native UE function, and the exact blueprint path for the 'FindCollisionUV' node."
"raytracing.md","RAYTRACING","SET_TOPIC","NOVEL","active","External systems","0.755302","NinjaLive v2 Limitations Descriptor","0.757314","The canon excerpts discuss Niagara systems, volumetric types (FVOL, CVOL, HVOL), and legacy raymarching, but contain no mention of raytracing vs translucency/refraction or the specific BaseMaterial/OutputMaterial parameter settings described."
"replication-multiplayer-split-screen.md","REPLICATION, MULTIPLAYER, SPLIT-SCREEN","SET_TOPIC","NOVEL","active","2.1 Typical Setups","0.755844","NinjaLive v2 Content Descriptor","0.757335","The canon excerpts provide no information regarding replication, multiplayer support, listen/dedicated servers, or split-screen compatibility."
"river-speed.md","RIVER SPEED","SET_TOPIC","PARTIAL","proposed-scope-reject","9.4 Sim vs Spline Direction","0.704681","NinjaLive v2 Params Descriptor","0.705997","The canon mentions velocity offsets (DirectVelocityY, DensityTxtOffsetX/Y) and simulation parameters, but it does not mention a 'Preset Manager' or explicitly link these specific controls to a 'river speed' use case."
"rivers-in-large-worlds.md","RIVERS IN LARGE WORLDS","SET_TOPIC","PARTIAL","proposed-scope-reject","2.2 Key Assets Listed","0.748503","NinjaLive v2 Content Descriptor","0.771783","The candidate introduces specific technical claims regarding Large World Coordinates (LWC) and World Partitioning for Landscapes that are not mentioned in the provided canon excerpts."
"rivers-splines-tiling.md","RIVERS, SPLINES, TILING","SET_TOPIC","NOVEL","active","9.3 Pattern Generators","0.770882","FluidNinja LIVE-2 Manual","0.770882","The canon excerpts discuss tile-map settings in terms of world-space vs local-space and render target wrapping, but contain no mention of using specific integer values (1 + even values) for tiling settings."
"rivers.md","RIVERS","SET_TOPIC","PARTIAL","active","9.3 Pattern Generators","0.799508","NinjaLive v2 Content Descriptor","0.810103","The candidate provides external tutorial links and Discord references not in the canon, and it explicitly instructs to use the Actor Scale Transform for scaling, which the canon explicitly forbids."
"running-fluidsim-on-custom-meshes.md","RUNNING FLUIDSIM ON CUSTOM MESHES","SET_TOPIC","PARTIAL","proposed-scope-reject","14.1 Terrain Flow","0.783995","NinjaLive v2 Content Descriptor","0.787405","The candidate provides specific technical guidance on using UV unwrapping for custom meshes and a workaround for complex meshes (camera-facing plane projection) that is not present in the canon excerpts."
"sea-surface-patterns.md","SEA SURFACE PATTERNS","SET_TOPIC","PARTIAL","active","Passive Waves","0.802252","FluidNinja LIVE-2 Manual","0.802252","While the canon covers landscape-gradient wave generation and passive output material patterns, the candidate adds a specific implementation detail regarding the use of two tiled-noise textures and noise-based mixing for the passive patterns."
"shoreline.md","SHORELINE","SET_TOPIC","PARTIAL","active","14.2 Wave Generator","0.749419","NinjaLive v2 Content Descriptor","0.750593","The candidate provides specific implementation instructions for shorelines using distance-field masks and RenderTargets as sim density inputs, which are not covered in the canon excerpts."
"sim-activation.md","SIM ACTIVATION","SET_TOPIC","PARTIAL","active","12.4 Distance Based Modes","0.801761","FluidNinja LIVE-2 Manual","0.801761","The candidate adds a specific technical troubleshooting detail regarding 'CharacterMesh' class definitions not qualifying as pawns, which is not mentioned in the canon."
"sim-area-size.md","SIM AREA SIZE","SET_TOPIC","PARTIAL","active","6.3 Extending The Sim Area","0.777042","FluidNinja LIVE-2 Manual","0.777042","The candidate introduces specific technical guidance on the ratio between sim area and resolution (pixel density) and mentions a 4K resolution bottleneck, which is not present in the canon excerpts."
"sim-edges-and-clamping.md","SIM EDGES AND CLAMPING","SET_TOPIC","NOVEL","proposed-scope-reject","Sim Space Wrapping (Tiling)","0.753398","FluidNinja LIVE-2 Manual","0.753398","The candidate discusses a specific visual artifact ('lines in the distance') and a solution involving setting simulation buffer edges to black via the Preset Manager, which is not mentioned in the provided canon."
"sim-inputs-adding-and-subtracting-brush-strokes.md","SIM INPUTS + ADDING AND SUBTRACTING BRUSH STROKES","SET_TOPIC","PARTIAL","proposed-scope-reject","5. Inputs and Interaction","0.793842","NinjaLive v2 Content Descriptor","0.800295","The candidate adds specific UI location details (Preset Manager panel) and a specific 'Invert' flag name not explicitly detailed in the canon, although the concept of inverting density is covered."
"sim-size-resolution-aspect.md","SIM SIZE, RESOLUTION, ASPECT","SET_TOPIC","PARTIAL","proposed-scope-reject","8.2 Sim area XY proportions","0.808507","NinjaLive v2 Content Descriptor","0.809904","The candidate introduces 'TraceMeshSize' and the specific 'LivePerformance' param group for resolution, which are not mentioned in the canon excerpts (which refer to 'ExtentsXYZ' and 'LiveCore' for these purposes)."
"simulation-resolution-detail-maps.md","SIMULATION RESOLUTION + DETAIL MAPS","SET_TOPIC","PARTIAL","active","11. Volumetrics","0.776395","NinjaLive v2 Content Descriptor","0.778915","The candidate provides specific resolution values (4K, 3K, 2K) and maps them to specific levels/stages (Level 14-C, 10-A, 8) not found in the canon, while the canon only discusses the general concept of using velocity to advect noise for detail."
"sinking-ship-setup.md","SINKING SHIP SETUP","SET_TOPIC","PARTIAL","active","1. Introduction","0.775776","NinjaLive v2 Content Descriptor","0.804360","While the canon covers using a SceneCaptureCamera for height input (Canon 3, 6), the candidate provides a specific, novel implementation strategy for a 'sinking ship' effect involving dual cameras, selective masking, and a specific mesh-intersection workflow not detailed in the manual."
"skipping-material-parameter-collections.md","SKIPPING MATERIAL PARAMETER COLLECTIONS","SET_TOPIC","PARTIAL","active","3.3 Copying Setups","0.759259","NinjaLive v2 Params Descriptor","0.793525","The candidate provides specific technical constraints (MPCs not supporting double vectors in UE 5.4) and a detailed blueprint workaround for LWC compatibility that is not present in the canon."
"sm6.md","SM6","SET_TOPIC","NOVEL","active","15.1 Comparison","0.702926","FluidNinja LIVE-2 Manual","0.702926","The candidate provides a specific technical fix (adding 'static' to an array in HLSL) for a GPU performance regression in MF_SeparableMultiKernelDiffusion when using SM6 in UE5.1, which is not mentioned in the canon."
"soft-refs-to-hard-refs.md","SOFT REFS to HARD REFS","SET_TOPIC","NOVEL","active","3.3 Copying Setups","0.788314","FluidNinja LIVE-2 Manual","0.788314","The canon excerpts discuss general data loss in the editor and external renderers, but contain no mention of Soft vs Hard references, the /LiveCompatibility parameter, or the specific packaging failure regarding density/velocity textures."
"spawning-1.md","SPAWNING","SET_TOPIC","PARTIAL","active","2.13 Ninja Spawner","0.785349","FluidNinja LIVE-2 Manual","0.785349","The candidate provides specific version-dependent compatibility info (UE 4 vs 5.11) and specific asset paths for ChildActor and Attached examples not found in the canon."
"spawning-vs-conflicting-live-components.md","SPAWNING vs CONFLICTING LIVE COMPONENTS","SET_TOPIC","NOVEL","proposed-scope-reject","14.4 Spawning","0.773526","NinjaLive v2 Limitations Descriptor","0.784415","The candidate describes a specific technical conflict regarding linetracer occlusion between overlapping simulations and the use of the 'NinjaLiveTraceExclude' array, which is not mentioned in the provided canon excerpts."
"spawning.md","SPAWNING","SET_TOPIC","PARTIAL","active","2.13 Ninja Spawner","0.785349","FluidNinja LIVE-2 Manual","0.785349","The candidate provides specific version-dependent compatibility info (UE 4 vs 5.11) and specific asset paths for ChildActor and SpawnedAttached examples not found in the canon."
"splinemeshgenerator-v2.md","SplineMeshGenerator v2","SET_TOPIC","PARTIAL","proposed-scope-reject","2.11 Spline Mesh Generator","0.735495","FluidNinja LIVE-2 Manual","0.735495","The candidate adds a specific technical explanation regarding aspect-ratio preservation when Tile Width equals Tile Length, which is not explicitly detailed in the canon."
"step-by-step-guide-for-movie-render-queue.md","STEP-BY-STEP GUIDE FOR MOVIE RENDER QUEUE","SET_TOPIC","PARTIAL","active","Rendering","0.833086","FluidNinja LIVE-2 Manual","0.833086","The candidate adds specific technical instructions not found in the canon, such as disabling the 'Possess Nearest Pawn' flag on 'BP_NinjaLive_Utilities' and the specific UI path for selecting the camera actor in the viewport."
"tagging.md","TAGGING","SET_TOPIC","PARTIAL","proposed-scope-reject","4.8 DirectDrive","0.787753","NinjaLive v2 Content Descriptor","0.794904","The candidate introduces Case-C (Landscape Utility Actor) and Case-D (FloorSnapper Utility Actor), neither of which are mentioned in the provided canon excerpts."
"temp-arrays.md","TEMP ARRAYS","SET_TOPIC","PARTIAL","active","14.5 Interaction Volume","0.749247","NinjaLive v2 Limitations Descriptor","0.753767","The candidate provides specific internal implementation details not found in the canon, such as the use of 40 pre-made arrays and the logic regarding unique IDs in mesh names versus bone name collisions."
"texture-asset-references.md","TEXTURE ASSET REFERENCES","SET_TOPIC","NOVEL","active","5.1 Bitmaps","0.775056","FluidNinja LIVE-2 Manual","0.775056","The candidate describes a specific technical workflow regarding soft vs hard references in DataTables, the 'FORCED' option for packaging, and absolute path lookup logic, none of which are mentioned in the provided canon excerpts."
"tiling-1.md","TILING","SET_TOPIC","PARTIAL","proposed-scope-reject","Sim Space Wrapping (Tiling)","0.815939","FluidNinja LIVE-2 Manual","0.815939","The candidate introduces specific parameter paths for Pressure buffer clamping (/PressureEdgeMasking and /CollisionMask) and Preset Manager settings that are not present in the provided canon excerpts."
"tiling.md","TILING","SET_TOPIC","PARTIAL","proposed-scope-reject","Sim Space Wrapping (Tiling)","0.815939","FluidNinja LIVE-2 Manual","0.815939","The candidate introduces specific parameter paths for Pressure buffer clamping (/PressureEdgeMasking and /CollisionMask) and Preset Manager settings that are not present in the provided canon excerpts."
"tracking-bones.md","TRACKING BONES","SET_TOPIC","PARTIAL","active","5.8 Object Pivots and Bones","0.788575","NinjaLive v2 Content Descriptor","0.792075","The candidate provides critical performance data (CPU bottleneck, 30-40 point limit) and optimization advice (12-bone set) not present in the canon, although it correctly references the bone-filtering parameters found in Canon 5."
"tracks-footprints.md","TRACKS & FOOTPRINTS","SET_TOPIC","PARTIAL","proposed-scope-reject","14.5 Interaction Volume","0.768983","NinjaLive v2 Limitations Descriptor","0.776694","The candidate provides specific technical limitations (pixelation above 500x500m) and a behavioral explanation of sim area movement/erasure that is not present in the canon excerpts."
"two-way-interaction.md","TWO WAY INTERACTION","SET_TOPIC","PARTIAL","active","4.3 Interaction: Fields","0.789198","NinjaLive v2 Content Descriptor","0.801787","While the canon covers simulation inputs (objects/particles) and driving Niagara (Canon 3), the candidate adds specific conceptual framing of the 'cause-effect chain' and external video references not present in the excerpts."
"ue5-lack-of-interaction.md","UE5 / (LACK OF) INTERACTION","SET_TOPIC","NOVEL","active","5.8 Object Pivots and Bones","0.752675","NinjaLive v2 Limitations Descriptor","0.759243","The canon excerpts discuss general interaction volumes and bone tracking, but contain no mention of ALS (Advanced Locomotion System) or the specific limitation regarding multi-level embedded skeletal mesh hierarchies."
"underwater-postprocess-switch.md","UNDERWATER POSTPROCESS SWITCH","SET_TOPIC","NOVEL","active","15.1 Comparison","0.717583","NinjaLive v2 Params Descriptor","0.759609","The candidate introduces a specific parameter 'SlowPostprocessSwitch' and a specific level 'Water_Sparse_River.umap' that are not mentioned in the provided canon excerpts."
"using-rendertargets.md","USING RENDERTARGETS","SET_TOPIC","PARTIAL","active","4.9 OutputMaterials","0.801280","NinjaLive v2 Params Descriptor","0.811890","While the canon covers the concept of exposing buffers to RenderTargets and the general use of volumes, the candidate adds specific operational instructions regarding the 'matching/pairing' of SimContainers and VolumeContainers at the same level location and warns about duplication conflicts."
"using-sequencer-and-movie-render-queue.md","USING SEQUENCER AND MOVIE RENDER QUEUE","SET_TOPIC","PARTIAL","active","Warnings","0.870113","FluidNinja LIVE-2 Manual","0.870113","The candidate adds a specific technical troubleshooting tip regarding temporal antialiasing in MRQ ruining tick-flow, which is not mentioned in the canon excerpts."
"visualizing-a-2d-sim-via-3d-volumes.md","VISUALIZING A 2D SIM VIA 3D VOLUMES","SET_TOPIC","PARTIAL","proposed-scope-reject","2.14 Native Unreal Volumes","0.810945","NinjaLive v2 Content Descriptor","0.843786","The candidate provides specific mathematical examples for calculating HVOL size (resolution * scale = centimeters) and references a specific external PDF and .umap file not found in the canon."
"volmetrics-volumefog-vs-volumesmoke-responsivity.md","VOLMETRICS --- VolumeFog vs VolumeSmoke --- responsivity","SET_TOPIC","PARTIAL","active","11. Volumetrics","0.830132","FluidNinja LIVE-2 Manual","0.830132","The candidate adds a specific recommendation to use VolumeSmoke for fast, responsive FX and references a specific 'Level23 level-blueprint' not found in the canon."
"volume-cloud-speed.md","VOLUME CLOUD SPEED","SET_TOPIC","PARTIAL","proposed-scope-reject","11. Volumetrics","0.717685","FluidNinja LIVE-2 Manual","0.717685","While canon mentions VeloDirNoiseSpeed (P.5.4.3) and the use of velocity to advect volumetric noise (Canon 1), the candidate adds specific technical observations regarding the distinction between 'MICRO-detail' (via noise speed) and 'MACRO details' (via velocity field amplitude) and their combined effect on freezing the simulation."
"volume-clouds.md","VOLUME CLOUDS","SET_TOPIC","PARTIAL","active","2.14 Native Unreal Volumes","0.746565","NinjaLive v2 Content Descriptor","0.771210","The candidate provides specific material parameter names (CloudU-Offset, V-offset, Altitude) and a step-by-step UI workflow for accessing the Cloud Material Instance that are not present in the canon excerpts."
"volume-fog-color.md","VOLUME FOG COLOR","SET_TOPIC","PARTIAL","active","2.14 Native Unreal Volumes","0.721924","NinjaLive v2 Content Descriptor","0.746283","The candidate provides specific UI navigation steps (Details -> Mat -> Albedo/Extinction) and a technical tip regarding point-light interaction that are not present in the canon excerpts."
"volume-fog-quality.md","VOLUME FOG QUALITY","SET_TOPIC","NOVEL","active","11.6 Culling, Fading, Visibility","0.739182","NinjaLive v2 Params Descriptor","0.746711","The candidate is a user support request regarding visual artifacts and specific quality settings (Max Steps) not addressed in the technical canon."
"volume-fog-visibility-and-distance-fade.md","VOLUME FOG VISIBILITY and DISTANCE FADE","SET_TOPIC","PARTIAL","active","11.6 Culling, Fading, Visibility","0.826801","FluidNinja LIVE-2 Manual","0.826801","The candidate adds specific instructional values (e.g., suggesting 200000 for FadeDistance) and explicitly links NinjaLiveComponent LOD and ninjaLive Actor LiveActivation to distance-based behavior, which is not explicitly connected to VolumeFog visibility in the canon."
"volume-usage.md","VOLUME USAGE","SET_TOPIC","PARTIAL","active","11. Volumetrics","0.790700","FluidNinja LIVE-2 Manual","0.790700","The candidate adds specific technical constraints not found in the canon, such as the 20-meter minimum voxel size for CVOLs and the explanation of FVOLs using froxels (camera frustum alignment) causing distance-based blockiness."
"volume-visibility.md","VOLUME VISIBILITY","SET_TOPIC","PARTIAL","active","11.6 Culling, Fading, Visibility","0.864410","FluidNinja LIVE-2 Manual","0.864410","The candidate provides specific external Discord links for visibility troubleshooting that are not present in the canon, although the technical concepts (LOD, distance fade) are covered."
"volumecloud-quality.md","VOLUMECLOUD QUALITY","SET_TOPIC","PARTIAL","active","11. Volumetrics","0.755953","FluidNinja LIVE-2 Manual","0.755953","The candidate provides specific instructions for improving cloud quality via 'SHADOW SAMPLE' and mentions a default 'LOW quality' setting, which are not detailed in the canon excerpts."
"volumesmoke-distance-fade.md","VOLUMESMOKE DISTANCE FADE","SET_TOPIC","REDUNDANT","proposed-discard","11.6 Culling, Fading, Visibility","0.790188","FluidNinja LIVE-2 Manual","0.790188","Canon 1, section 5 explicitly mentions the 'XDistanceFade' parameter-group in the VolumeSmoke Material Instance along with the 'Range' and 'Falloff' parameters."
"volumesmoke-on-character.md","VOLUMESMOKE ON CHARACTER","SET_TOPIC","PARTIAL","proposed-scope-reject","4.5 Transforms","0.776983","NinjaLive v2 Content Descriptor","0.801295","The candidate provides specific parameter values for 'PUNCTURE', 'DRAG', 'LightIntensity', and 'Shadow', as well as a specific tutorial reference (Level 30-A) and asset names not found in the canon."
"volumetrics.md","VOLUMETRICS","SET_TOPIC","PARTIAL","active","11. Volumetrics","0.848273","FluidNinja LIVE-2 Manual","0.848273","The candidate introduces SVOL (Smoke Volumes) and specific performance/shadowing characteristics for SVOL and HVOL that are not detailed in the provided canon excerpts."
"water-foam.md","WATER FOAM","SET_TOPIC","NOVEL","active","6.1 Sparse vs Dense Setups","0.775289","NinjaLive v2 Content Descriptor","0.779539","The candidate provides a specific workflow for removing 'non-interactive' foam by editing a 'Density Template' texture within a 'DefaultPreset' data table, which is not mentioned in any of the provided canon excerpts."
"water-meshes.md","WATER / MESHES","SET_TOPIC","PARTIAL","active","6.3 Extending The Sim Area","0.799625","NinjaLive v2 Content Descriptor","0.846644","The candidate provides specific implementation instructions for using Instanced Static Meshes with LODs and Virtual HeightField Meshes as water geometry, which are not detailed in the provided canon excerpts."
"waterline.md","WATERLINE","SET_TOPIC","NOVEL","active","Sparse, Spline","0.755289","NinjaLive v2 Content Descriptor","0.769831","The candidate describes a specific technical implementation for a 'waterline' screen-space mask to handle camera merging, which is not mentioned in the provided canon excerpts."
"wave-height.md","WAVE HEIGHT","SET_TOPIC","PARTIAL","active","Passive Waves","0.800192","NinjaLive v2 Content Descriptor","0.814857","The candidate introduces specific parameter names ('MeshDistortion') and their exact locations within the Output Material (under 'MeshDistortion' and 'TileMap' groups) which are not present in the canon excerpts."
"waves.md","WAVES","SET_TOPIC","PARTIAL","proposed-scope-reject","Passive Waves","0.811881","FluidNinja LIVE-2 Manual","0.811881","The candidate introduces specific external tutorial links and the technical tip that 'NOISES are key' for simulation-based waves, which are not present in the canon."
"world-space-interaction.md","WORLD SPACE INTERACTION","SET_TOPIC","PARTIAL","active","14.5 Interaction Volume","0.758628","NinjaLive v2 Limitations Descriptor","0.766976","While the canon mentions attaching a sim to a moving player (Canon 7) and the role of the Interaction Volume (Canon 1, 3, 4), the candidate provides a specific implementation detail regarding the 'NinjaLive_Area_Wind Actor' and the explicit conceptualization of 'simulation moving in world space' as a method for universal object interaction."
